CurrencyName,Fin Aid Package Release,Fall20 Bill Due,Spring21 Bill Due,Students,Hypothetical,Hypothetical2
United Arab Emirates Dirham,0.0,-0.0,-0.0,1,9999.73,9999.73
Albanian Lek,0.0,-0.63,-5.23,1,9937.38,9476.78
Armenian Dram,0.0,-1.2,-1.2,3,9880.05,9880.05
Argentine Peso,0.0,13.22,29.13,3,11322.32,12913.4
Australian Dollar,0.0,-12.93,-17.08,3,8707.21,8291.9
Azerbaijani Manat,0.0,0.0,0.0,1,10000.0,10000.0
Bangladeshi Taka,0.0,-0.13,-0.07,6,9986.83,9992.8
Bulgarian Lev,0.0,-2.13,-6.38,8,9787.43,9361.85
Brazilian Real,0.0,7.38,6.63,30,10738.42,10663.28
Belarusian Ruble,0.0,1.15,9.25,1,10115.38,10925.37
Canadian Dollar,0.0,-3.6,-7.29,11,9639.78,9271.42
Chinese Yuan,0.0,-0.07,-5.93,42,9993.14,9406.9
Czech Republic Koruna,0.0,-4.47,-10.02,2,9552.61,8998.29
Danish Krone,0.0,-2.56,-6.84,2,9744.43,9315.89
Algerian Dinar,0.0,6.57,7.29,1,10657.13,10728.8
Egyptian Pound,0.0,1.41,-0.6,18,10140.63,9939.93
Ethiopian Birr,0.0,7.92,16.87,7,10792.42,11687.17
Euro,0.0,-2.22,-6.48,37,9778.39,9351.93
British Pound Sterling,0.0,-2.58,-8.01,7,9741.76,9198.96
Georgian Lari,0.0,10.04,19.53,3,11003.58,11953.4
Ghanaian Cedi,0.0,3.2,5.18,1,10320.31,10517.83
Guatemalan Quetzal,0.0,0.78,2.4,3,10077.66,10239.61
Hong Kong Dollar,0.0,-0.18,-0.19,5,9982.0,9980.8
Honduran Lempira,0.0,0.15,-2.32,1,10014.96,9767.84
Hungarian Forint,0.0,0.46,-2.47,3,10046.24,9752.51
Indonesian Rupiah,0.0,-4.03,-7.18,2,9596.86,9282.31
Israeli New Sheqel,0.0,-8.93,-12.17,7,9106.89,8783.38
Indian Rupee,0.0,1.14,-0.41,18,10113.7,9958.89
Jamaican Dollar,0.0,6.19,8.6,1,10618.7,10859.72
Jordanian Dinar,0.0,-0.01,-0.01,1,9998.59,9998.59
Japanese Yen,0.0,0.65,-1.8,12,10064.59,9820.3
Kenyan Shilling,0.0,3.87,6.48,20,10386.7,10647.97
Kyrgystani Som,0.0,8.81,18.81,1,10880.88,11880.72
South Korean Won,0.0,-2.56,-9.98,12,9744.01,9002.26
Kazakhstani Tenge,0.0,-5.13,-2.18,9,9486.91,9782.09
Moroccan Dirham,0.0,0.36,-4.84,4,10036.29,9516.2
Mongolian Tugrik,0.0,2.58,3.52,10,10258.16,10351.53
Mexican Peso,0.0,-1.3,-10.88,16,9869.93,8911.79
Malaysian Ringgit,0.0,-1.07,-5.45,6,9892.59,9455.11
Nigerian Naira,0.0,5.68,4.44,19,10567.53,10443.83
Norwegian Krone,0.0,-9.7,-13.53,6,9029.62,8646.83
Nepalese Rupee,0.0,1.42,-0.12,1,10142.49,9987.55
New Zealand Dollar,0.0,-8.08,-13.91,1,9192.49,8608.6
Philippine Peso,0.0,-3.97,-6.57,8,9602.86,9343.3
Pakistani Rupee,0.0,5.14,0.47,27,10514.02,10046.96
Polish Zloty,0.0,-1.42,-5.69,5,9857.94,9431.06
Romanian Leu,0.0,-2.16,-5.84,5,9784.16,9416.36
Russian Ruble,0.0,-4.51,2.75,11,9549.42,10275.4
Saudi Riyal,0.0,-0.07,-0.07,1,9992.95,9992.56
Swedish Krona,0.0,-7.31,-12.37,5,9269.25,8762.86
Singapore Dollar,0.0,-2.34,-5.83,6,9765.53,9417.14
Swazi Lilangeni,0.0,0.7,-7.91,1,10069.86,9209.24
Thai Baht,0.0,-1.95,-5.93,2,9804.84,9407.05
Tunisian Dinar,0.0,-1.33,-4.27,2,9866.95,9572.83
Turkish Lira,0.0,6.67,21.74,6,10666.57,12173.91
Trinidad and Tobago Dollar,0.0,0.2,0.72,1,10019.8,10071.82
New Taiwan Dollar,0.0,-2.55,-5.68,10,9745.46,9432.31
Ukrainian Hryvnia,0.0,1.94,7.09,38,10193.78,10708.57
Ugandan Shilling,0.0,-1.42,-1.03,1,9857.96,9897.44
United States Dollar,0.0,0.0,0.0,76,10000.0,10000.0
Uruguayan Peso,0.0,0.9,-1.83,2,10089.81,9816.72
Uzbekistan Som,0.0,7.38,9.29,1,10738.02,10929.1
Vietnamese Dong,0.0,-0.18,-0.15,35,9981.96,9985.31
South African Rand,0.0,-0.17,-7.05,4,9982.72,9295.25
Zimbabwean Dollar,0.0,-0.0,-0.0,1,10000.0,10000.0
