,United Arab Emirates Dirham,Albanian Lek,Armenian Dram,Argentine Peso,Australian Dollar,Azerbaijani Manat,Bangladeshi Taka,Bulgarian Lev,Brazilian Real,Belarusian Ruble,Canadian Dollar,Chinese Yuan,Czech Republic Koruna,Danish Krone,Algerian Dinar,Egyptian Pound,Ethiopian Birr,Euro,British Pound Sterling,Georgian Lari,Ghanaian Cedi,Guatemalan Quetzal,Hong Kong Dollar,Honduran Lempira,Hungarian Forint,Indonesian Rupiah,Israeli New Sheqel,Indian Rupee,Jamaican Dollar,Jordanian Dinar,Japanese Yen,Kenyan Shilling,Kyrgystani Som,South Korean Won,Kazakhstani Tenge,Moroccan Dirham,Mongolian Tugrik,Mexican Peso,Malaysian Ringgit,Nigerian Naira,Norwegian Krone,Nepalese Rupee,New Zealand Dollar,Philippine Peso,Pakistani Rupee,Polish Zloty,Romanian Leu,Russian Ruble,Saudi Riyal,Swedish Krona,Singapore Dollar,Swazi Lilangeni,Thai Baht,Tunisian Dinar,Turkish Lira,Trinidad and Tobago Dollar,New Taiwan Dollar,Ukrainian Hryvnia,Ugandan Shilling,United States Dollar,Uruguayan Peso,Uzbekistan Som,Vietnamese Dong,South African Rand,Zimbabwean Dollar
2017-01-01,3.672896,128.298385,483.727501,15.86875,1.3862,1.8017,79.312949,1.85745,3.254444,1.965632,1.3444,6.9447,25.670833,7.064656,110.397,18.1175,22.474959,0.949713,0.809782,2.65388,4.27,7.547478,7.75565,23.358379,293.845,13487.716667,3.84529,67.956337,129.298155,0.708099,116.82243628,102.441662,69.217551,1206.45,334.925938,10.127434,2484.166667,20.71768,4.486,308.09557,8.63558,108.905844,1.440839,49.566298,104.732275,4.183885,4.31268,61.252419,3.75055,9.100513,1.448602,13.746232,35.797415,2.30149,3.524511,6.74272,32.453368,27.191873,3627.408069,1.0,29.245598,3195.626613,22792.5,13.78381,322.322775
2017-02-01,3.672779,126.865984,486.285,15.794,1.318685,1.9517,79.905332,1.816755,3.1295,1.942463,1.304831,6.881581,25.091076,6.906645,109.321235,18.841,22.698345,0.928581,0.789817,2.696785,4.395825,7.497522,7.759441,23.621823,287.385,13352.066667,3.7735,67.4056,129.252768,0.7085,113.2895,103.895,69.110399,1152.95,326.320491,9.9926,2451.436667,20.71387,4.430171,305.836139,8.233107,108.313424,1.377987,49.763626,104.8,3.998143,4.217007,60.1455,3.74965,8.750101,1.413119,13.48691,35.14,2.310097,3.77323,6.743031,31.296,27.050908,3597.45,1.0,28.146154,3271.359946,22586.816667,13.464471,322.322775
2017-03-01,3.672611,128.003119,485.956231,15.45,1.305633,1.765,79.974152,1.85229,3.089705,1.891965,1.335425,6.88275,25.645,7.055358,110.234909,16.2015,22.639873,0.949132,0.814956,2.491889,4.7039,7.365403,7.76305,23.545705,291.8825,13347.233333,3.664175,66.866684,128.725725,0.7085,114.12616667,102.74,69.173799,1140.5,313.508676,10.123285,2471.98,19.855183,4.448499,314.375599,8.424345,106.761208,1.405111,50.314469,104.7,4.06365,4.293601,58.2472,3.75005,9.059231,1.41216,13.043117,35.0235,2.314903,3.651417,6.711237,30.772,27.144094,3590.35,1.0,28.193782,3340.75,22782.966667,13.024275,322.322775
2017-04-01,3.672895,127.676147,484.702879,15.37925,1.31053,1.715,80.491119,1.835534,3.1222,1.879851,1.332095,6.8897,25.364008,6.982545,110.112148,18.0475,22.724492,0.937734,0.797194,2.43316,4.335578,7.355482,7.77078,23.37939,289.5185,13322.985417,3.63075,64.8067,129.220268,0.709904,111.375,102.966744,68.557649,1117.71,314.444199,10.068446,2443.844258,18.71887,4.425465,315.497113,8.59099,104.135587,1.42745,50.17,104.85,3.971251,4.274884,56.246,3.7501,8.970505,1.39705,13.406704,34.344,2.285904,3.636972,6.746352,30.33,27.091853,3625.85,1.0,28.653836,3601.85,22774.343378,13.423405,322.387247
2017-05-01,3.673097,123.879477,485.999027,15.3835,1.3277,1.7,82.782615,1.79476,3.1764,1.877314,1.367565,6.8944,24.621838,6.817315,109.227842,18.122,22.977298,0.916707,0.775344,2.43912,4.220955,7.368292,7.778583,23.520636,286.0245,13332.178017,3.614165,64.22,129.704254,0.709603,111.81792308,103.285,67.487499,1137.28,315.90524,9.918353,2412.333333,18.73055,4.3425,315.903654,8.585173,103.267801,1.444669,50.1545,105.109188,3.872115,4.163525,57.0088,3.750741,8.844089,1.396196,13.314974,34.609032,2.446102,3.554355,6.752686,30.208462,26.634266,3649.608069,1.0,28.126498,3717.5,22760.333333,13.396781,322.387247
2017-06-01,3.672896,119.588393,483.138772,16.051,1.35494,1.685,80.903598,1.744705,3.2505,1.867267,1.351586,6.809494,23.477555,6.633528,108.358,18.006,23.038662,0.891834,0.776005,2.42136,4.31048,7.362901,7.791521,23.529273,274.719,13313.693067,3.551355,64.3823,130.449094,0.709703,111.444125,103.291215,68.077749,1122.01,313.016605,9.75095,2393.361147,18.65265,4.288,315.038439,8.453059,103.391197,1.41615,49.788402,104.958162,3.740528,4.070005,56.4133,3.7502,8.682715,1.386501,13.052999,34.15,2.465305,3.530637,6.738466,30.107,26.308302,3617.558069,1.0,28.293384,3851.2,22696.905655,12.89545,322.387247
2017-07-01,3.673014,115.982238,479.227298,16.6235,1.300559,1.68605,80.445452,1.71187,3.3077,1.9373,1.29658,6.77755,22.8636,6.5062,107.750311,18.117,23.185287,0.875305,0.767595,2.393502,4.371599,7.322482,7.8075,23.305322,270.4,13332.663629,3.48843,64.6122,129.303493,0.708901,112.405,103.652719,69.197605,1145.6,321.261483,9.635846,2344.41834,18.12575,4.293505,313.991088,8.346605,103.20536,1.363736,50.396,104.628428,3.70355,3.993298,58.905,3.7503,8.4235,1.3765,13.046047,33.9135,2.466005,3.520006,6.717164,30.417,26.030646,3588.1,1.0,28.31064,3949.45,22709.07319,13.097495,322.387247
2017-08-01,3.673097,112.453203,479.54899,17.574,1.256849,1.68545,81.338625,1.6568,3.1262,1.94564,1.254794,6.715162,22.15367,6.296218,108.454,17.853,23.437564,0.846655,0.757171,2.39142,4.397571,7.288057,7.813305,23.45,257.0803,13317.085826,3.560865,64.0658,127.665593,0.7085,110.44099822,103.914027,68.656403,1121.39,332.135291,9.444102,2442.312917,17.896813,4.2865,315.485669,7.922207,102.545585,1.346744,50.422,105.44147,3.603738,3.854394,60.2964,3.75015,8.11038,1.359328,13.261817,33.2945,2.426603,3.52962,6.750568,30.251,25.88371,3624.858069,1.0,28.265527,4077.891667,22685.962744,13.254604,322.322775
2017-09-01,3.673018,112.65,479.97899,17.21,1.254846,1.7,81.183815,1.6492,3.14057,1.934706,1.23965,6.56125,21.9706,6.27095,111.108673,17.6415,23.555,0.843035,0.772198,2.4363,4.450017,7.325391,7.82368,23.506049,257.7725,13331.995889,3.575745,63.8239,129.145085,0.708901,110.255,103.11542,68.675501,1121.95,339.561523,9.383081,2425.8999,17.82325,4.270494,359.730849,7.795045,102.866291,1.397664,51.0685,105.725257,3.584296,3.873412,57.5005,3.7499,7.99975,1.35793,12.989102,33.1585,2.440103,3.429357,6.762623,30.119,25.808934,3616.25,1.0,28.974208,4198.9,22743.623473,12.94035,322.355011
2017-10-01,3.672965,113.777225,481.658804,17.537234,1.275208,1.68525,82.808961,1.664586,3.164879,1.97054,1.248128,6.658887,22.002413,6.302195,113.688787,17.653,23.63893,0.846824,0.746469,2.4693,4.427409,7.379029,7.810575,23.519291,263.908,13498.158815,3.53569,65.299477,130.991002,0.7086,112.6583,103.866643,68.645752,1145.66,342.53341,9.466635,2459.308235,18.2307,4.22244,358.82534,7.9661,105.151062,1.385445,50.929466,105.888779,3.653403,3.889221,57.5561,3.7502,8.147967,1.357402,13.568849,33.288952,2.475195,3.565248,6.793774,30.328,26.751304,3632.233069,1.0,29.288344,8103.933333,22770.766667,13.563158,322.355011
