Currency,"December 31, 2017","December 31, 2018","December 31, 2019","December 31, 2020",Students
United Arab Emirates Dirham,24450.0,24198.8360814743,26454.638124362893,26346.192893401014,1
Albanian Lek,24450.0,23874.263261296663,25146.38971315529,23311.264822134388,1
Armenian Dram,24450.0,24620.825147347743,25537.239324726914,27664.039408866993,3
Argentine Peso,24450.0,33195.79945799458,52713.26397919376,80384.61538461539,3
Australian Dollar,24450.0,27212.38938053097,28376.227897838897,26163.021868787277,3
Azerbaijani Manat,24450.0,24593.503937007874,25304.771178188897,25231.06796116505,1
Bangladeshi Taka,24450.0,23927.962085308056,25253.080568720383,25061.32075471698,6
Bulgarian Lev,24450.0,25573.80254154448,26935.01454898157,25357.21393034826,8
Brazilian Real,24450.0,28201.542912246867,30203.259827420905,39900.98039215686,30
Belarusian Ruble,24450.0,25904.356060606064,26448.901623686725,32510.90047393365,1
Canadian Dollar,24450.0,26500.489715964744,26268.364348677766,26175.473579262216,11
Chinese Yuan,24450.0,25803.729146221787,26491.866028708137,25613.412228796846,42
Czech Republic Koruna,24450.0,25772.549019607846,26786.82170542636,25371.124031007752,2
Danish Krone,24450.0,25980.158730158728,27651.785714285714,25381.474103585657,2
Algerian Dinar,24450.0,25033.106134371956,26312.500000000004,28403.992395437264,1
Egyptian Pound,24450.0,21939.685314685314,21402.19378427788,21762.310606060608,18
Ethiopian Birr,24450.0,23307.41410488246,25365.690376569037,32143.84151593454,7
Euro,24450.0,25672.906403940884,27402.76406712734,25470.529470529473,37
British Pound Sterling,24450.0,25871.945259042037,26081.854043392508,25575.274177467596,7
Georgian Lari,24450.0,25392.118226600986,26735.51401869159,31746.85990338164,3
Ghanaian Cedi,24450.0,24443.327239488117,30254.8656163114,30140.68100358423,1
Guatemalan Quetzal,24450.0,25690.127077223853,26341.39264990329,26935.483870967742,3
Hong Kong Dollar,24450.0,24418.9453125,25137.026239067054,25671.984047856433,5
Honduran Lempira,24450.0,24736.084452975047,26024.975984630164,25771.317829457363,1
Hungarian Forint,24450.0,26275.55988315482,28465.384615384613,28705.882352941175,3
Indonesian Rupiah,24450.0,25700.581395348836,25900.58479532164,26319.211822660098,2
Israeli New Sheqel,24450.0,26632.936507936505,25640.15904572565,24137.82696177062,7
Indian Rupee,24450.0,26520.975609756097,27158.388003748827,28715.667311411988,18
Jamaican Dollar,24450.0,24963.8671875,26028.248587570622,28650.336215177715,1
Jordanian Dinar,24450.0,24005.78034682081,25714.995034756703,26342.82807731434,1
Japanese Yen,24450.0,24084.3253968254,24906.467661691542,23920.523138832996,12
Kenyan Shilling,24450.0,23315.988647114475,24098.29867674858,26264.114832535888,20
Kyrgystani Som,24450.0,24558.208955223883,25186.226964112513,28703.80687093779,1
South Korean Won,24450.0,25701.875616979272,27886.79245283019,26296.812749003984,12
Kazakhstani Tenge,24450.0,27417.853751187085,28366.223908918408,30611.162790697676,9
Moroccan Dirham,24450.0,25467.53246753247,26277.227722772277,24624.750499001995,4
Mongolian Tugrik,24450.0,23353.049907578556,27494.296577946767,29292.822966507178,10
Mexican Peso,24450.0,23772.90076335878,24287.93774319066,25305.689488910317,16
Malaysian Ringgit,24450.0,25336.32734530938,25877.227722772277,26167.846309403438,6
Nigerian Naira,24450.0,22726.2118491921,23434.82142857143,24624.450307827614,19
Norwegian Krone,24450.0,25375.84541062802,27499.013806706113,26655.882352941175,6
Nepalese Rupee,24450.0,26109.942638623328,27440.56603773585,28045.283018867925,1
New Zealand Dollar,24450.0,25865.55446516192,26910.696761530915,25197.640117994102,1
Philippine Peso,24450.0,24907.706945765938,25644.87804878049,24305.068226120857,8
Pakistani Rupee,24450.0,30002.851711026615,33661.11111111111,34617.86372007366,27
Polish Zloty,24450.0,26499.50544015826,27414.893617021276,27115.459882583167,5
Romanian Leu,24450.0,25235.237173281705,27375.961538461535,25889.970788704966,5
Russian Ruble,24450.0,28730.584851390224,27127.184466019415,32081.88824662813,11
Saudi Riyal,24450.0,24419.76516634051,25981.981981981982,25054.054054054053,1
Swedish Krona,24450.0,26648.727984344423,29206.489675516223,25873.14172447968,5
Singapore Dollar,24450.0,25296.517412935325,25963.29365079365,25776.88442211055,6
Swazi Lilangeni,24450.0,27540.360873694208,28836.274509803923,29453.588516746415,1
Thai Baht,24450.0,24635.45816733068,23480.673934588704,23739.0873015873,2
Tunisian Dinar,24450.0,27919.069767441862,27623.939679547595,27000.0,2
Turkish Lira,24450.0,28893.599334995844,36375.67084078713,45405.35714285715,6
Trinidad and Tobago Dollar,24450.0,25005.940594059404,26000.0,26105.000000000004,1
New Taiwan Dollar,24450.0,25745.745745745746,25882.294757665677,24603.603603603602,10
Ukrainian Hryvnia,24450.0,22407.10382513661,21010.566762728144,24857.414448669202,38
Ugandan Shilling,24450.0,24926.614481409,25249.03474903475,24851.428571428572,1
United States Dollar,24450.0,24484.789008832187,25416.258570029382,25416.258570029382,76
Uruguayan Peso,24450.0,26000.925925925923,30824.448529411762,34760.73059360731,2
Uzbekistan Som,24450.0,22468.06649168854,26407.98611111111,29905.441570026764,1
Vietnamese Dong,24450.0,24666.01941747573,25187.26235741445,25714.839961202713,35
South African Rand,24450.0,27593.898951382267,28324.011571841856,29756.05033881897,4
