,FullCurrency,"December 31, 2017","December 31, 2018","December 31, 2019","December 31, 2020",Sum,FullCurrencyName
AED,United Arab Emirates Dirham,24450,24199,25660,26049,"100,359",United Arab Emirates Dirham
ALL,Albanian Lek,24450,23874,24701,22650,"95,676",Albanian Lek
AMD,Armenian Dram,24450,24621,25085,26986,"101,145",Armenian Dram
ARS,Argentine Peso,24450,33196,35713,35410,"128,772",Argentine Peso
AUD,Australian Dollar,24450,27213,27901,25271,"104,838",Australian Dollar
AZN,Azerbaijani Manat,24450,24593,24906,24181,"98,131",Azerbaijani Manat
BDT,Bangladeshi Taka,24450,23928,23937,22517,"94,838",Bangladeshi Taka
BGN,Bulgarian Lev,24450,25573,26329,24041,"100,401",Bulgarian Lev
BRL,Brazilian Real,24450,28201,29125,36891,"118,697",Brazilian Real
BYN,Belarusian Ruble,24450,25905,25047,29405,"104,808",Belarusian Ruble
CAD,Canadian Dollar,24450,26501,25728,25109,"101,799",Canadian Dollar
CNY,Chinese Yuan,24450,25803,25998,24054,"100,347",Chinese Yuan
CZK,Czech Republic Koruna,24450,25773,26262,24102,"100,589",Czech Republic Koruna
DKK,Danish Krone,24450,25981,27432,24980,"102,845",Danish Krone
DZD,Algerian Dinar,24450,25033,25621,27009,"102,114",Algerian Dinar
EGP,Egyptian Pound,24450,21940,18708,17388,"82,504",Egyptian Pound
ETB,Ethiopian Birr,24450,23308,22934,24320,"95,019",Ethiopian Birr
EUR,Euro,24450,25673,26997,24772,"101,929",Euro
GBP,British Pound Sterling,24450,25872,25496,24655,"100,480",British Pound Sterling
GEL,Georgian Lari,24450,25392,26340,29231,"105,416",Georgian Lari
GHS,Ghanaian Cedi,24450,24443,27655,25534,"102,083",Ghanaian Cedi
GTQ,Guatemalan Quetzal,24450,25690,25749,25464,"101,356",Guatemalan Quetzal
HKD,Hong Kong Dollar,24450,24419,24548,24364,"97,786",Hong Kong Dollar
HNL,Honduran Lempira,24450,24736,24976,23758,"97,921",Honduran Lempira
HUF,Hungarian Forint,24450,26276,27717,26876,"105,322",Hungarian Forint
IDR,Indonesian Rupiah,24450,25700,25098,24857,"100,107",Indonesian Rupiah
ILS,Israeli New Sheqel,24450,26633,25437,23803,"100,330",Israeli New Sheqel
INR,Indian Rupee,24450,26521,26496,26256,"103,741",Indian Rupee
JMD,Jamaican Dollar,24450,24964,25418,26346,"101,179",Jamaican Dollar
JOD,Jordanian Dinar,24450,24006,24773,25202,"98,432",Jordanian Dinar
JPY,Japanese Yen,24450,24084,24709,23613,"96,868",Japanese Yen
KES,Kenyan Shilling,24450,23316,22799,23486,"94,071",Kenyan Shilling
KGS,Kyrgystani Som,24450,24558,25061,27702,"101,772",Kyrgystani Som
KRW,South Korean Won,24450,25701,27529,25779,"103,471",South Korean Won
KZT,Kazakhstani Tenge,24450,27418,26939,27581,"106,397",Kazakhstani Tenge
MAD,Moroccan Dirham,24450,25468,26251,24357,"100,530",Moroccan Dirham
MNT,Mongolian Tugrik,24450,23353,25410,25735,"98,958",Mongolian Tugrik
MXN,Mexican Peso,24450,23773,23175,23489,"94,903",Mexican Peso
MYR,Malaysian Ringgit,24450,25336,25826,25857,"101,475",Malaysian Ringgit
NGN,Nigerian Naira,24450,22726,21037,19736,"87,968",Nigerian Naira
NOK,Norwegian Krone,24450,25376,26569,25399,"101,800",Norwegian Krone
NPR,Nepalese Rupee,24450,26110,26234,25294,"102,089",Nepalese Rupee
NZD,New Zealand Dollar,24450,25866,26409,24266,"100,992",New Zealand Dollar
PHP,Philippine Peso,24450,24908,24400,22562,"96,328",Philippine Peso
PKR,Pakistani Rupee,24450,30003,31997,30469,"116,946",Pakistani Rupee
PLN,Polish Zloty,24450,26500,27117,25939,"104,011",Polish Zloty
RON,Romanian Leu,24450,25235,26502,24099,"100,291",Romanian Leu
RUB,Russian Ruble,24450,28731,26009,29863,"109,064",Russian Ruble
SAR,Saudi Riyal,24450,24419,25423,24539,"98,832",Saudi Riyal
SEK,Swedish Krona,24450,26649,28578,24893,"104,575",Swedish Krona
SGD,Singapore Dollar,24450,25297,25834,25445,"101,032",Singapore Dollar
SZL,Swazi Lilangeni,24450,27540,27385,27422,"106,798",Swazi Lilangeni
THB,Thai Baht,24450,24635,23387,23434,"95,908",Thai Baht
TND,Tunisian Dinar,24450,27919,25696,23673,"101,740",Tunisian Dinar
TRY,Turkish Lira,24450,28894,30237,33760,"117,347",Turkish Lira
TTD,Trinidad and Tobago Dollar,24450,25006,25743,25744,"100,944",Trinidad and Tobago Dollar
TWD,New Taiwan Dollar,24450,25746,25908,24360,"100,474",New Taiwan Dollar
UAH,Ukrainian Hryvnia,24450,22407,19135,21747,"87,777",Ukrainian Hryvnia
UGX,Ugandan Shilling,24450,24926,24706,23471,"97,554",Ugandan Shilling
USD,United States Dollar,24450,24485,24942,24429,"98,382",United States Dollar
UYU,Uruguayan Peso,24450,26001,28541,29582,"108,576",Uruguayan Peso
UZS,Uzbekistan Som,24450,22468,23104,22712,"92,735",Uzbekistan Som
VND,Vietnamese Dong,24450,24666,24453,23732,"97,336",Vietnamese Dong
ZAR,South African Rand,24450,27594,27001,27354,"106,403",South African Rand
