,United Arab Emirates Dirham,Albanian Lek,Armenian Dram,Argentine Peso,Australian Dollar,Azerbaijani Manat,Bangladeshi Taka,Bulgarian Lev,Brazilian Real,Belarusian Ruble,Canadian Dollar,Chinese Yuan,Czech Republic Koruna,Danish Krone,Algerian Dinar,Egyptian Pound,Ethiopian Birr,Euro,British Pound Sterling,Georgian Lari,Ghanaian Cedi,Guatemalan Quetzal,Hong Kong Dollar,Honduran Lempira,Hungarian Forint,Indonesian Rupiah,Israeli New Sheqel,Indian Rupee,Jamaican Dollar,Jordanian Dinar,Japanese Yen,Kenyan Shilling,Kyrgystani Som,South Korean Won,Kazakhstani Tenge,Moroccan Dirham,Mongolian Tugrik,Mexican Peso,Malaysian Ringgit,Nigerian Naira,Norwegian Krone,Nepalese Rupee,New Zealand Dollar,Philippine Peso,Pakistani Rupee,Polish Zloty,Romanian Leu,Russian Ruble,Saudi Riyal,Swedish Krona,Singapore Dollar,Swazi Lilangeni,Thai Baht,Tunisian Dinar,Turkish Lira,Trinidad and Tobago Dollar,New Taiwan Dollar,Ukrainian Hryvnia,Ugandan Shilling,United States Dollar,Uruguayan Peso,Uzbekistan Som,Vietnamese Dong,South African Rand,Zimbabwean Dollar
2017-01-01,3.672896,128.298385,483.727501,15.86875,1.3862,1.8017,79.312949,1.85745,3.254444,1.965632,1.3444,6.9447,25.670833,7.064656,110.397,18.1175,22.474959,0.949713,0.809782,2.65388,4.27,7.547478,7.75565,23.358379,293.845,13487.716667,3.84529,67.956337,129.298155,0.708099,116.82243628,102.441662,69.217551,1206.45,334.925938,10.127434,2484.166667,20.71768,4.486,308.09557,8.63558,108.905844,1.440839,49.566298,104.732275,4.183885,4.31268,61.252419,3.75055,9.100513,1.448602,13.746232,35.797415,2.30149,3.524511,6.74272,32.453368,27.191873,3627.408069,1.0,29.245598,3195.626613,22792.5,13.78381,322.322775
2017-01-07,3.673018,128.575,483.800001,15.812639,1.370614,1.80525,79.530445,1.8571,3.223688,1.961871,1.32375,6.9182,25.65625,7.0576,110.395,17.984,22.634561,0.94942,0.81407,2.739424,4.27665,7.581361,7.75555,23.217212,292.089,13348.316667,3.84607,68.141704,129.39638,0.7086,116.991,103.69,69.200652,1201.95,332.910868,10.127424,2492.065,21.2217,4.472973,305.836139,8.53665,109.269343,1.437195,49.563,104.8,4.1355,4.277279,59.6075,3.75055,9.059955,1.4389,13.67936,35.724,2.296493,3.643426,6.75424,32.055,27.414128,3656.05,1.0,28.653836,3216.3,22539.2,13.75863,322.322775
2017-01-14,3.673018,128.65,485.507498,15.845,1.333531,1.8065,79.3575,1.83955,3.221287,1.953704,1.31155,6.9001,25.38495,6.9867,110.108333,18.9175,22.586998,0.939645,0.8203,2.714613,4.266486,7.536553,7.75485,23.535102,288.769,13327.816667,3.819995,68.1678,128.866191,0.7084,114.497,103.917731,69.481251,1175.05,332.595,10.015677,2492.83,21.4765,4.462494,314.36,8.500705,109.127213,1.402722,49.822,104.85,4.12425,4.223318,59.595,3.7506,8.91045,1.4278,13.494621,35.393,2.323506,3.723497,6.722366,31.597,27.610719,3611.2,1.0,28.707176,3238.1,22582.1,13.514105,322.322775
2017-01-21,3.673018,127.918237,486.391248,15.805817,1.323452,1.87415,78.972478,1.829335,3.17145,1.934742,1.332,6.8764,25.2505,6.9512,109.434933,18.8395,22.477,0.934781,0.808016,2.66664,4.308272,7.487408,7.75745,23.594213,289.09,13402.95,3.79275,68.09215,128.372931,0.7084,114.596,103.930231,69.4855,1175.5,330.683046,10.013707,2485.841667,21.5889,4.447015,313.507351,8.414325,108.546008,1.395284,49.962531,104.297514,4.08615,4.203527,59.5781,3.7503,8.8824,1.42575,13.539877,35.3855,2.284,3.767194,6.686472,31.538,27.262223,3581.0,1.0,28.61283,3236.7,22574.983333,13.59926,322.387247
2017-02-01,3.672779,126.865984,486.285,15.794,1.318685,1.9517,79.905332,1.816755,3.1295,1.942463,1.304831,6.881581,25.091076,6.906645,109.321235,18.841,22.698345,0.928581,0.789817,2.696785,4.395825,7.497522,7.759441,23.621823,287.385,13352.066667,3.7735,67.4056,129.252768,0.7085,113.2895,103.895,69.110399,1152.95,326.320491,9.9926,2451.436667,20.71387,4.430171,305.836139,8.233107,108.313424,1.377987,49.763626,104.8,3.998143,4.217007,60.1455,3.74965,8.750101,1.413119,13.48691,35.14,2.310097,3.77323,6.743031,31.296,27.050908,3597.45,1.0,28.146154,3271.359946,22586.816667,13.464471,322.322775
2017-02-07,3.673097,127.655,485.807502,15.677,1.312188,1.87525,79.592108,1.829755,3.12045,1.916907,1.319202,6.8855,25.305805,6.961957,109.710888,18.3095,22.405687,0.936492,0.800264,2.665944,4.407622,7.430835,7.75865,23.619217,289.281,13325.65,3.748488,67.3509,128.805776,0.708099,112.38875,103.7,69.41775,1143.05,323.19893,10.0425,2468.053333,20.619883,4.437,314.380599,8.324512,107.736683,1.370501,49.763626,104.807142,4.034272,4.202491,59.4776,3.75045,8.878016,1.418581,13.447982,35.04175,2.285099,3.741822,6.722506,31.046135,26.975381,3581.1,1.0,28.40176,3285.484946,22589.033333,13.439055,322.322775
2017-02-14,3.673014,128.136117,489.188552,15.4765,1.303901,1.7695,80.490369,1.84914,3.085094,1.885743,1.30811,6.867412,25.545288,7.029821,109.99871,16.4995,22.804936,0.94532,0.801937,2.635971,4.425472,7.457703,7.759408,23.646901,291.2335,13326.65,3.74704,66.7861,129.40888,0.7087,114.2903,103.69,69.360599,1138.99,323.22143,10.104135,2476.513333,20.274,4.449984,316.484221,8.39913,107.45534,1.394266,49.88,105.286023,4.067495,4.258829,57.0748,3.75055,8.934645,1.420059,13.208445,35.026338,2.28951,3.652969,6.75314,30.769,27.309462,3602.65,1.0,28.527241,3325.7,22722.016667,13.094148,322.322775
2017-02-21,3.673014,128.171117,486.872378,15.589,1.302764,1.7875,80.316702,1.854775,3.095498,1.875363,1.314625,6.883448,25.621,7.05119,110.265,15.7465,22.665953,0.948605,0.800834,2.627146,4.547857,7.384245,7.761157,23.575262,291.954,13366.683333,3.70244,66.9753,128.723225,0.709202,113.6733,103.595,69.091551,1142.22,319.987741,10.1229,2476.193333,20.00321,4.457422,315.483779,8.35081,107.195137,1.3962,50.2685,104.85,4.075205,4.282585,57.4292,3.75045,8.9725,1.420083,13.071229,35.0255,2.29321,3.626174,6.723873,30.7915,27.059895,3588.6,1.0,28.293384,3290.984946,22831.566667,13.152628,322.387247
2017-03-01,3.672611,128.003119,485.956231,15.45,1.305633,1.765,79.974152,1.85229,3.089705,1.891965,1.335425,6.88275,25.645,7.055358,110.234909,16.2015,22.639873,0.949132,0.814956,2.491889,4.7039,7.365403,7.76305,23.545705,291.8825,13347.233333,3.664175,66.866684,128.725725,0.7085,114.12616667,102.74,69.173799,1140.5,313.508676,10.123285,2471.98,19.855183,4.448499,314.375599,8.424345,106.761208,1.405111,50.314469,104.7,4.06365,4.293601,58.2472,3.75005,9.059231,1.41216,13.043117,35.0235,2.314903,3.651417,6.711237,30.772,27.144094,3590.35,1.0,28.193782,3340.75,22782.966667,13.024275,322.322775
2017-03-07,3.672695,127.975,486.974878,15.5665,1.31684,1.78,80.259452,1.85018,3.1198,1.902096,1.341175,6.902476,25.567,7.032498,110.391214,17.5005,22.698149,0.94611,0.819437,2.45341,4.694532,7.383011,7.764425,23.517001,293.466,13345.244683,3.6749,66.6268,128.790776,0.7085,113.9255,102.6,69.202736,1150.39,315.557834,10.106377,2463.326843,19.48403,4.447,315.417113,8.452139,106.644281,1.436306,50.284,104.911399,4.072864,4.297629,58.1736,3.750245,9.01283,1.410743,12.991225,35.1125,2.308407,3.679651,6.726546,30.856,26.9843,3620.033069,1.0,28.345388,3324.0,22781.08023,12.971934,322.387247
2017-03-14,3.673014,127.1,485.195379,15.543,1.321737,1.74,80.488369,1.842025,3.165079,1.921053,1.347075,6.91542,25.46165,7.005129,110.08,18.0495,22.743064,0.942333,0.822572,2.488171,4.605909,7.388731,7.768399,23.555484,293.385,13365.853133,3.66585,65.7852,128.963854,0.709503,114.6565,102.705,69.2408,1149.24,319.049776,10.084866,2452.638188,19.6583,4.449984,314.988439,8.609368,105.467135,1.443238,50.317,104.825,4.068988,4.280576,59.221,3.7501,8.96495,1.41501,13.180529,35.3035,2.285802,3.741466,6.746028,30.963,26.958078,3623.083069,1.0,28.30526,3510.076108,22762.305337,13.155257,322.387247
2017-03-21,3.673014,125.276125,483.533772,15.624,1.3032,1.705,80.282391,1.80962,3.0884,1.877536,1.335947,6.8851,24.990698,6.878026,109.403143,18.144,22.828321,0.924836,0.801158,2.435636,4.491286,7.33825,7.765705,23.531227,285.38,13316.693067,3.63167,65.505,128.886191,0.709503,111.53398075,103.1,69.27875,1123.87,315.602834,9.97031,2452.900857,19.110415,4.4255,307.718527,8.471833,104.476299,1.42027,50.238637,104.8,3.95677,4.221009,57.6255,3.7501,8.79863,1.400908,12.567961,34.752,2.289407,3.63364,6.732031,30.451,26.881993,3619.308069,1.0,28.162012,3502.976108,22759.684172,12.687385,322.322775
2017-04-01,3.672895,127.676147,484.702879,15.37925,1.31053,1.715,80.491119,1.835534,3.1222,1.879851,1.332095,6.8897,25.364008,6.982545,110.112148,18.0475,22.724492,0.937734,0.797194,2.43316,4.335578,7.355482,7.77078,23.37939,289.5185,13322.985417,3.63075,64.8067,129.220268,0.709904,111.375,102.966744,68.557649,1117.71,314.444199,10.068446,2443.844258,18.71887,4.425465,315.497113,8.59099,104.135587,1.42745,50.17,104.85,3.971251,4.274884,56.246,3.7501,8.970505,1.39705,13.406704,34.344,2.285904,3.636972,6.746352,30.33,27.091853,3625.85,1.0,28.653836,3601.85,22774.343378,13.423405,322.387247
2017-04-07,3.672896,128.0,485.155,15.344657,1.333325,1.7025,80.477619,1.845747,3.1461,1.891206,1.340824,6.90425,25.100558,7.0208,110.512,17.999,23.015,0.944198,0.80821,2.4123,4.21,7.340318,7.768797,23.458908,292.78,13319.31875,3.65096,64.48,128.908691,0.709804,111.081,103.395,68.438502,1138.0,313.185,10.0957,2427.443171,18.656717,4.43646,317.5,8.658773,103.633494,1.44215,49.813204,104.75,3.987575,4.268306,57.2588,3.75025,9.065786,1.404899,13.82,34.6185,2.290098,3.729473,6.732228,30.607,26.968243,3619.05,1.0,28.474568,3643.0,22649.646418,13.77318,322.387247
2017-04-14,3.672895,127.715,487.6,15.1625,1.319051,1.665,81.300847,1.84292,3.1446,1.890644,1.33265,6.8877,25.166875,7.009183,110.43,18.1705,22.855168,0.942241,0.798722,2.38026,4.240367,7.355964,7.773313,23.377383,294.695,13266.135333,3.653727,64.4455,129.365,0.709703,108.585,103.650376,68.375999,1136.4,312.335,10.084473,2402.040401,18.5137,4.404997,315.775,8.584275,103.317799,1.427441,49.49,105.109188,3.987413,4.261397,56.3316,3.75025,9.047311,1.39821,13.598654,34.476,2.350295,3.700895,6.74653,30.39,26.935686,3628.9,1.0,28.486596,3657.95,22676.959027,13.420149,322.322775
