Currency,"December 31, 2017","December 31, 2018","December 31, 2019","December 31, 2020",Students
United Arab Emirates Dirham,24450.0,24199.0,26455.0,26346.0,1
Albanian Lek,24450.0,23874.0,25146.0,23311.0,1
Armenian Dram,24450.0,24621.0,25537.0,27664.0,3
Argentine Peso,24450.0,33196.0,52713.0,80385.0,3
Australian Dollar,24450.0,27213.0,28376.0,26163.0,3
Azerbaijani Manat,24450.0,24593.0,25305.0,25231.0,1
Bangladeshi Taka,24450.0,23928.0,25253.0,25062.0,6
Bulgarian Lev,24450.0,25573.0,26935.0,25357.0,8
Brazilian Real,24450.0,28201.0,30203.0,39901.0,30
Belarusian Ruble,24450.0,25905.0,26449.0,32511.0,1
Canadian Dollar,24450.0,26501.0,26268.0,26175.0,11
Chinese Yuan,24450.0,25803.0,26492.0,25614.0,42
Czech Republic Koruna,24450.0,25773.0,26787.0,25371.0,2
Danish Krone,24450.0,25981.0,27652.0,25382.0,2
Algerian Dinar,24450.0,25033.0,26312.0,28404.0,1
Egyptian Pound,24450.0,21940.0,21402.0,21762.0,18
Ethiopian Birr,24450.0,23308.0,25365.0,32144.0,7
Euro,24450.0,25673.0,27402.0,25471.0,37
British Pound Sterling,24450.0,25872.0,26082.0,25575.0,7
Georgian Lari,24450.0,25392.0,26735.0,31746.0,3
Ghanaian Cedi,24450.0,24443.0,30255.0,30141.0,1
Guatemalan Quetzal,24450.0,25690.0,26341.0,26936.0,3
Hong Kong Dollar,24450.0,24419.0,25137.0,25672.0,5
Honduran Lempira,24450.0,24736.0,26025.0,25771.0,1
Hungarian Forint,24450.0,26276.0,28465.0,28706.0,3
Indonesian Rupiah,24450.0,25700.0,25901.0,26320.0,2
Israeli New Sheqel,24450.0,26633.0,25640.0,24138.0,7
Indian Rupee,24450.0,26521.0,27158.0,28715.0,18
Jamaican Dollar,24450.0,24964.0,26028.0,28651.0,1
Jordanian Dinar,24450.0,24006.0,25715.0,26343.0,1
Japanese Yen,24450.0,24084.0,24906.0,23920.0,12
Kenyan Shilling,24450.0,23316.0,24098.0,26264.0,20
Kyrgystani Som,24450.0,24558.0,25186.0,28704.0,1
South Korean Won,24450.0,25701.0,27887.0,26297.0,12
Kazakhstani Tenge,24450.0,27418.0,28367.0,30611.0,9
Moroccan Dirham,24450.0,25468.0,26277.0,24625.0,4
Mongolian Tugrik,24450.0,23353.0,27494.0,29293.0,10
Mexican Peso,24450.0,23773.0,24288.0,25306.0,16
Malaysian Ringgit,24450.0,25336.0,25877.0,26168.0,6
Nigerian Naira,24450.0,22726.0,23435.0,24624.0,19
Norwegian Krone,24450.0,25376.0,27499.0,26656.0,6
Nepalese Rupee,24450.0,26110.0,27440.0,28045.0,1
New Zealand Dollar,24450.0,25866.0,26910.0,25197.0,1
Philippine Peso,24450.0,24908.0,25645.0,24305.0,8
Pakistani Rupee,24450.0,30003.0,33661.0,34618.0,27
Polish Zloty,24450.0,26500.0,27415.0,27116.0,5
Romanian Leu,24450.0,25235.0,27376.0,25890.0,5
Russian Ruble,24450.0,28731.0,27127.0,32082.0,11
Saudi Riyal,24450.0,24419.0,25982.0,25054.0,1
Swedish Krona,24450.0,26649.0,29206.0,25873.0,5
Singapore Dollar,24450.0,25297.0,25963.0,25777.0,6
Swazi Lilangeni,24450.0,27540.0,28836.0,29453.0,1
Thai Baht,24450.0,24635.0,23481.0,23739.0,2
Tunisian Dinar,24450.0,27919.0,27624.0,27000.0,2
Turkish Lira,24450.0,28894.0,36375.0,45405.0,6
Trinidad and Tobago Dollar,24450.0,25006.0,26000.0,26105.0,1
New Taiwan Dollar,24450.0,25746.0,25882.0,24603.0,10
Ukrainian Hryvnia,24450.0,22407.0,21010.0,24857.0,38
Ugandan Shilling,24450.0,24926.0,25249.0,24851.0,1
United States Dollar,24450.0,24485.0,25416.0,25416.0,76
Uruguayan Peso,24450.0,26001.0,30824.0,34760.0,2
Uzbekistan Som,24450.0,22468.0,26408.0,29905.0,1
Vietnamese Dong,24450.0,24666.0,25187.0,25715.0,35
South African Rand,24450.0,27594.0,28324.0,29756.0,4
